tig00000004	LR134108.1	98.902	13570	92	48	1	13543	12143	25682	0.0	24181
tig00000004	LR134108.1	92.768	1203	65	17	13549	14735	25845	27041	0.0	1720
tig00000004	LR135246.1	98.902	13570	92	48	1	13543	31355	44894	0.0	24181
tig00000004	LR135246.1	92.768	1203	65	17	13549	14735	45057	46253	0.0	1720
tig00000004	LR135222.1	98.902	13570	92	48	1	13543	18645	32184	0.0	24181
tig00000004	LR135222.1	92.768	1203	65	17	13549	14735	32347	33543	0.0	1720
tig00000004	CP097023.1	96.019	14794	483	78	1	14735	32737	17991	0.0	23959
tig00000004	CP065768.1	96.019	14794	483	78	1	14735	32737	17991	0.0	23959
tig00000004	LR135186.1	98.548	13570	143	49	1	13546	37652	24113	0.0	23918
tig00000004	LR135186.1	92.768	1203	65	17	13549	14735	23953	22757	0.0	1720
tig00000004	CP065765.1	95.836	14793	480	105	1	14735	39122	24408	0.0	23780
tig00000004	CP116525.1	98.290	13568	181	47	1	13546	16423	2885	0.0	23723
tig00000004	CP116525.1	92.768	1203	65	17	13549	14735	2725	1529	0.0	1720
tig00000004	CP014530.1	99.405	12937	31	44	1	12915	12913	1	0.0	23422
tig00000004	CP014530.1	100.000	1791	0	0	1567	3357	55599	53809	0.0	3308
tig00000004	CP014530.1	98.744	1831	0	16	12917	14735	223688	221869	0.0	3232
tig00000004	LR135402.1	97.635	13572	255	56	1	13546	35086	21555	0.0	23224
tig00000004	LR135402.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	LR135395.1	97.635	13572	255	56	1	13546	35086	21555	0.0	23224
tig00000004	LR135395.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	LR135489.1	97.635	13572	255	56	1	13546	36153	22622	0.0	23224
tig00000004	LR135489.1	92.768	1203	65	17	13549	14735	22462	21266	0.0	1720
tig00000004	LR135415.1	97.635	13572	255	56	1	13546	35086	21555	0.0	23224
tig00000004	LR135415.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	LR135409.1	97.635	13572	255	56	1	13546	35086	21555	0.0	23224
tig00000004	LR135409.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	CP044275.1	97.627	13572	256	56	1	13546	35086	21555	0.0	23219
tig00000004	CP044275.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	LR135365.1	97.627	13572	256	56	1	13546	35086	21555	0.0	23219
tig00000004	LR135365.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	LR135345.1	97.627	13572	256	56	1	13546	35086	21555	0.0	23219
tig00000004	LR135345.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	LR135298.1	97.627	13572	256	56	1	13546	35086	21555	0.0	23219
tig00000004	LR135298.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	CP018066.1	97.627	13572	256	56	1	13546	29024	15493	0.0	23219
tig00000004	CP018066.1	92.768	1203	65	17	13549	14735	15333	14137	0.0	1720
tig00000004	CP063605.1	97.627	13572	256	56	1	13546	31770	18239	0.0	23219
tig00000004	CP063605.1	92.768	1203	65	17	13549	14735	18079	16883	0.0	1720
tig00000004	CP063599.1	97.627	13572	256	56	1	13546	31770	18239	0.0	23219
tig00000004	CP063599.1	92.768	1203	65	17	13549	14735	18079	16883	0.0	1720
tig00000004	OU015709.1	97.627	13572	256	56	1	13546	35086	21555	0.0	23219
tig00000004	OU015709.1	92.768	1203	65	17	13549	14735	21395	20199	0.0	1720
tig00000004	LR135294.1	97.592	13578	254	57	1	13546	31831	18295	0.0	23195
tig00000004	LR135294.1	92.857	1204	62	19	13549	14735	18135	16939	0.0	1725
tig00000004	CP063556.1	97.592	13578	254	57	1	13546	33722	20186	0.0	23195
tig00000004	CP063556.1	92.857	1204	62	19	13549	14735	20026	18830	0.0	1725
tig00000004	CP063587.1	97.584	13578	254	58	1	13546	33721	20186	0.0	23189
tig00000004	CP063587.1	92.857	1204	62	19	13549	14735	20026	18830	0.0	1725
tig00000004	CP046167.1	97.543	12006	236	49	1564	13546	35415	23446	0.0	20482
tig00000004	CP046167.1	98.392	1741	20	8	1	1737	37139	35403	0.0	3053
tig00000004	CP046167.1	92.768	1203	65	17	13549	14735	23286	22090	0.0	1720
tig00000004	LR135429.1	97.111	12079	280	52	1	12048	34970	22930	0.0	20308
tig00000004	LR135429.1	94.286	2765	109	27	12009	14735	22358	19605	0.0	4185
tig00000004	LR135175.1	97.102	12079	281	52	1	12048	34411	22371	0.0	20303
tig00000004	LR135175.1	94.322	2765	108	27	12009	14735	21799	19046	0.0	4191
tig00000004	LR536671.1	97.094	12079	282	52	1	12048	33346	21306	0.0	20297
tig00000004	LR536671.1	94.322	2765	108	27	12009	14735	20734	17981	0.0	4191
tig00000004	CP072885.1	96.331	11421	338	62	3354	14735	28669	17291	0.0	18694
tig00000004	CP072885.1	93.726	1578	87	11	1	1572	30239	28668	0.0	2355
tig00000004	CP047327.1	96.331	11421	338	62	3354	14735	48455	37077	0.0	18694
tig00000004	CP047327.1	93.726	1578	87	11	1	1572	50025	48454	0.0	2355
tig00000004	LR135237.1	99.139	10216	61	22	1	10200	30187	40391	0.0	18353
tig00000004	LR135237.1	95.318	3353	119	29	10201	13543	43135	46459	0.0	5288
tig00000004	LR135237.1	92.780	1205	61	19	13549	14735	46622	47818	0.0	1720
tig00000004	CP109841.1	95.501	11359	417	64	3354	14659	28727	17410	0.0	18059
tig00000004	CP109841.1	93.536	1578	90	11	1	1572	30297	28726	0.0	2338
tig00000004	CP069130.1	95.501	11359	417	64	3354	14659	65230	53913	0.0	18059
tig00000004	CP069130.1	93.536	1578	90	11	1	1572	66800	65229	0.0	2338
tig00000004	CP068249.1	95.501	11359	417	64	3354	14659	2502825	2514142	0.0	18059
tig00000004	CP068249.1	93.536	1578	90	11	1	1572	2501255	2502826	0.0	2338
tig00000004	CP068249.1	76.161	646	137	13	2719	3355	1112379	1111742	3.78e-82	324
tig00000004	CP068249.1	76.161	646	137	13	2719	3355	1222695	1222058	3.78e-82	324
tig00000004	CP068245.1	95.501	11359	417	64	3354	14659	28727	17410	0.0	18059
tig00000004	CP068245.1	93.536	1578	90	11	1	1572	30297	28726	0.0	2338
tig00000004	CP101669.1	95.304	11415	452	64	3354	14735	82744	94107	0.0	18033
tig00000004	CP101669.1	97.527	1577	29	9	1	1572	81174	82745	0.0	2687
tig00000004	CP101669.1	96.552	87	2	1	6505	6590	2636001	2635915	1.14e-27	143
tig00000004	CP091103.1	95.255	11423	458	66	3354	14735	159662	171041	0.0	18015
tig00000004	CP091103.1	97.527	1577	29	9	1	1572	158092	159663	0.0	2687
tig00000004	CP091207.1	95.178	11448	446	64	3354	14735	29380	17973	0.0	17985
tig00000004	CP091207.1	94.550	1578	74	11	1	1572	30950	29379	0.0	2427
tig00000004	CP032307.1	95.190	11434	458	62	3354	14735	32345	43738	0.0	17983
